id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_79_go","Go → Format_item_with_description","Go → Format_item_with_description","cross_community",4,"['comm_35','comm_42']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:format_item_with_description"
"proc_80_go","Go → Textify_api_dict","Go → Textify_api_dict","cross_community",4,"['comm_35','comm_42']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/utils.py:textify_api_dict"
"proc_81_go","Go → _ensure_parent","Go → _ensure_parent","cross_community",4,"['comm_35','comm_28','comm_27']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_ensure_parent"
"proc_82_go","Go → _update_peaks","Go → _update_peaks","cross_community",4,"['comm_35','comm_28','comm_27']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_update_peaks"
"proc_83_go","Go → _utc_iso","Go → _utc_iso","cross_community",4,"['comm_35','comm_28','comm_27']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_utc_iso"
"proc_84_go_stream","Go_stream → _format_resources_for_prompt","Go_stream → _format_resources_for_prompt","cross_community",4,"['comm_35','comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go_stream","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/model/retriever.py:_format_resources_for_prompt"
"proc_85_go_stream","Go_stream → _prompt_from_call","Go_stream → _prompt_from_call","cross_community",4,"['comm_35','comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go_stream","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_prompt_from_call"
"proc_86_go_stream","Go_stream → _extract_usage","Go_stream → _extract_usage","cross_community",4,"['comm_35','comm_28']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go_stream","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_extract_usage"
"proc_87_go_stream","Go_stream → Format_item_with_description","Go_stream → Format_item_with_description","cross_community",4,"['comm_35','comm_42']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go_stream","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:format_item_with_description"
"proc_88_go_stream","Go_stream → Textify_api_dict","Go_stream → Textify_api_dict","cross_community",4,"['comm_35','comm_42']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go_stream","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/utils.py:textify_api_dict"
"proc_89_go_stream","Go_stream → _ensure_parent","Go_stream → _ensure_parent","cross_community",4,"['comm_35','comm_28','comm_27']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go_stream","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_ensure_parent"
"proc_90_go_stream","Go_stream → _update_peaks","Go_stream → _update_peaks","cross_community",4,"['comm_35','comm_28','comm_27']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go_stream","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_update_peaks"
"proc_91_go_stream","Go_stream → _utc_iso","Go_stream → _utc_iso","cross_community",4,"['comm_35','comm_28','comm_27']","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/biomni/agent/a1.py:go_stream","Function:data/artifacts/0b98775a-0be8-4743-8728-94820ea65ec8/workspace/repo/agentic_runtime_hooks.py:_utc_iso"
