"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"214505_s_at",-0.362214236498783,3.10637770925484,-5.59717778581025,2.42630718403535e-06,0.000236252768324447,4.7444844172419
"206136_at",0.127970994965822,2.87917099017785,5.59687075401682,2.42859828281628e-06,0.000236252768324447,4.74358920067953
"218257_s_at",0.182755643115259,2.98757172117381,5.58789963276837,2.49650438641225e-06,0.000241802731374373,4.71743244425923
"212594_at",-0.239391824038025,3.07132806542777,-5.58462753622066,2.52174159176261e-06,0.000242671566664565,4.70789234591546
"204240_s_at",0.240041240199507,2.92585126674844,5.5826037110923,2.53747847194497e-06,0.000242671566664565,4.70199176154674
"210048_at",0.14153372204551,2.99436977245178,5.58251701071188,2.53815482483474e-06,0.000242671566664565,4.70173898245989
"219682_s_at",-0.348857784442498,3.1485478783485,-5.57834807115447,2.57089030240346e-06,0.000243252462365597,4.68958435001414
"203146_s_at",-0.234525229026011,3.16758669442524,-5.57775162325673,2.57560811090276e-06,0.000243252462365597,4.68784541116315
"212796_s_at",-0.12745951804196,3.35639118964031,-5.57652871866456,2.58530815485881e-06,0.000243252462365597,4.6842800571924
"210087_s_at",0.22293119971704,3.09318776227494,5.57620168980232,2.58790831712737e-06,0.000243252462365597,4.68332661429816
"212340_at",0.137440211577254,2.98250936489247,5.56497672371495,2.67875795603072e-06,0.000250733995741581,4.65060141738716
"202095_s_at",0.340285833826373,3.03931147320024,5.56209687956572,2.70257516691708e-06,0.000250739249997688,4.64220581615271
"209368_at",-0.21593342634493,3.10493421356719,-5.56208006302302,2.70271486431982e-06,0.000250739249997688,4.64215679128106
"222357_at",-0.20396568058659,3.24952152368832,-5.56089462584277,2.71258065491057e-06,0.000250739249997688,4.63870092436216
"204468_s_at",-0.240758127820887,2.98320542832662,-5.55518871540723,2.76057362619685e-06,0.000252022231282444,4.62206695399053
"218039_at",0.341590417249245,3.14608233238911,5.55463969613752,2.76523597115348e-06,0.000252022231282444,4.62046646887663
"213386_at",-0.2370611838864,2.86346994766377,-5.55455703672541,2.76593860675538e-06,0.000252022231282444,4.62022550294013
"201521_s_at",0.156198655994048,3.13167681625722,5.55040070507939,2.80149982327124e-06,0.000252022231282444,4.60810923910676
"218312_s_at",-0.311061337608212,3.27302707588861,-5.55033017603557,2.80210718714653e-06,0.000252022231282444,4.60790363978596
"202626_s_at",0.227933368171505,3.15944683411484,5.54888711107291,2.81456311503528e-06,0.000252022231282444,4.60369697599501
"213438_at",-0.312010161335603,2.8867741338446,-5.54869451538814,2.81622969689046e-06,0.000252022231282444,4.60313554476661
"203501_at",-0.262397195268381,3.06438924558792,-5.54804763723649,2.82183452356443e-06,0.000252022231282444,4.60124984949358
"211762_s_at",0.17735535037983,3.4630884609372,5.54685952947583,2.8321578291557e-06,0.000252022231282444,4.59778644910635
