"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204768_s_at",0.260343418123989,3.01987669427413,6.74815302418162,7.15674553555478e-08,4.23280685565643e-05,8.08458258296414
"219715_s_at",0.135296453573808,3.10293068848997,6.73668651556685,7.41010551971743e-08,4.23280685565643e-05,8.05165674096141
"209825_s_at",0.190615650816154,3.20401586119727,6.72192102569102,7.74971931084036e-08,4.23280685565643e-05,8.00924270738182
"212423_at",-0.276247615951589,3.34955798829474,-6.71951236086081,7.8065891618407e-08,4.23280685565643e-05,8.00232217505351
"203464_s_at",-0.136667141715974,3.21867881407394,-6.71065024978042,8.01947191204407e-08,4.23280685565643e-05,7.97685584064
"205046_at",0.318427653135934,2.85160551718186,6.70966335913764,8.04353773108491e-08,4.23280685565643e-05,7.97401951641721
"219167_at",-0.316714339256927,3.15975521625804,-6.69773815963766,8.34015615522795e-08,4.23280685565643e-05,7.93974056079029
"208490_x_at",0.222387494337846,3.12859672649371,6.69445822594803,8.42365419695919e-08,4.23280685565643e-05,7.93031048817987
"210299_s_at",-0.44615200471446,3.21929442866056,-6.68957641552445,8.549493682359e-08,4.23280685565643e-05,7.91627337194029
"205246_at",0.182030364635729,3.01013966550763,6.68954316490395,8.55035725207789e-08,4.23280685565643e-05,7.91617775716911
"206088_at",-0.280270216119791,2.98297361645309,-6.65966447945789,9.36297873956994e-08,4.53432776916086e-05,7.83022554283142
"218542_at",0.39259684676355,3.00215821495615,6.64519168863658,9.78413563407324e-08,4.63747211745212e-05,7.78856763987837
"37005_at",-0.167416865497743,3.55378882058123,-6.6187277384996,1.06042049178967e-07,4.921455686583e-05,7.71235523969285
"209074_s_at",-0.301378419008664,3.06773455711484,-6.56302910181796,1.25635425621185e-07,5.71179668686357e-05,7.55178820921239
"57715_at",-0.225118103972086,3.13468120232668,-6.54249860652281,1.33744049605979e-07,5.9588323861448e-05,7.49254920857483
"218355_at",0.31882854813752,2.93834892554628,6.52637681683666,1.40479084306575e-07,6.06441743897487e-05,7.44601131406491
"208609_s_at",-0.419651691473542,3.15143639224303,-6.52386570439087,1.41558426550565e-07,6.06441743897487e-05,7.4387610706428
"218755_at",0.356052150493128,3.00311235905104,6.50631294950538,1.4933976712236e-07,6.2753727246734e-05,7.38807009928523
"202705_at",0.378651031637987,3.14049734743164,6.48891892456476,1.57475382219917e-07,6.2753727246734e-05,7.33781785058408
"217807_s_at",-0.107310039141212,3.80467127442485,-6.48301647039251,1.60336267566454e-07,6.2753727246734e-05,7.3207609611136
"209318_x_at",-0.282969358810164,3.31348263879974,-6.47055365402964,1.66549873026451e-07,6.2753727246734e-05,7.28473874349801
"210904_s_at",0.293149227928291,2.96544306636601,6.46549581497465,1.69140158939772e-07,6.2753727246734e-05,7.27011691793792
"214481_at",0.123102888354548,2.73148920192578,6.46308961180795,1.70386642965956e-07,6.2753727246734e-05,7.26316021088569
"220651_s_at",0.303322027250881,2.78430657190506,6.46225889828902,1.70819119396586e-07,6.2753727246734e-05,7.26075840580913
"222043_at",-0.432952497055202,3.02942618315139,-6.46010451321629,1.71945862664584e-07,6.2753727246734e-05,7.25452932920813
"205167_s_at",0.211969511622422,2.71590216515503,6.45529644374349,1.74487518166687e-07,6.2753727246734e-05,7.24062649608811
"219197_s_at",-0.314804210704766,3.04719981145106,-6.45498700901508,1.74652380899471e-07,6.2753727246734e-05,7.23973169756369
"201298_s_at",0.152759302536079,3.31793871439582,6.43316801292372,1.86681175355843e-07,6.60110562444781e-05,7.17662257571523
"212695_at",-0.134525768176458,3.20042468205471,-6.37724360949865,2.21457732020131e-07,7.70845921283196e-05,7.0147386485362
"211110_s_at",-0.300145844610709,2.99503253195496,-6.35982734201916,2.33566047052233e-07,7.88252403936981e-05,6.96428753669723
"202779_s_at",0.162358250123895,3.30714999341208,6.35863559354778,2.3441851503933e-07,7.88252403936981e-05,6.96083468990031
"202604_x_at",0.176750077288372,3.01317047957259,6.35072947859126,2.40153578256084e-07,7.88252403936981e-05,6.93792637868143
"208546_x_at",0.242449960934453,2.98059316589488,6.35010555939383,2.4061212671237e-07,7.88252403936981e-05,6.93611840098108
"221748_s_at",-0.290146996415229,3.46270930354343,-6.32271933741961,2.61631096491915e-07,8.32223100849713e-05,6.85673874214616
"212803_at",-0.125286258150417,3.19145129592674,-6.31997029715817,2.63840361969868e-07,8.32223100849713e-05,6.84876839132167
"220692_at",-0.176751119226858,2.95523763018324,-6.3165859774115,2.6658593561695e-07,8.32223100849713e-05,6.83895562125939
